1581cheese,2015-10-07 00:00,2015-10-08 00:00,2015-10-09 00:00,2015-10-10 00:00,2015-10-11 00:00,2015-10-12 00:00
real data -,144,152,77,35,10,2
real data +,57,62,38,15,2,2
simulation data -,166,187,96,46,10,2
simulation data +,44,33,19,4,2,2


